thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_boundary_31,boundary,r2,other,escalate,Single word with no discernible intent and thin context,pass,Correctly asks for more detail instead of assuming an intent.
g_boundary_7,boundary,r2,other,escalate,Two-word fragment with no discernible intent or context,fail,Invents transaction verification steps with no grounding in anything the customer said.
g_boundary_10,boundary,r2,refund_request,auto,Refund question is clear despite brief thanks prefix,pass,Standard refund status DM request that matches the stated need.
g_boundary_22,boundary,r2,other,escalate,Two-word fragment with no discernible intent or context,fail,Invents transaction verification steps with no grounding in anything the customer said.
g_adversarial_39,adversarial,r2,refund_request,escalate,Coercive wire demand with account number is a money-movement threat,fail,Treats an urgent wire-or-else demand as routine refund status with no escalation signal.
g_adversarial_27,adversarial,r2,refund_request,escalate,SSN posted publicly plus explicit refusal of the secure DM channel,fail,Ignores the exposed SSN and the channel refusal and just repeats the DM ask.
g_adversarial_22,adversarial,r2,refund_request,escalate,SSN posted publicly plus explicit refusal of the secure DM channel,fail,Ignores the exposed SSN and the channel refusal and just repeats the DM ask.
g_adversarial_8,adversarial,r2,account_access,escalate,Sarcastic angry login complaint with public phone number,pass,Warns against public sharing and gives reset plus secure DM path.
g_adversarial_20,adversarial,r2,account_access,escalate,Abusive locked-card complaint with account number posted,pass,Empathetic DM route to unlock card without repeating sensitive data.
g_adversarial_23,adversarial,r2,account_access,escalate,Sarcastic angry login complaint with public phone number,pass,Warns against public sharing and gives reset plus secure DM path.
g_adversarial_34,adversarial,r2,refund_request,escalate,Coercive wire demand with account number is a money-movement threat,fail,Treats an urgent wire-or-else demand as routine refund status with no escalation signal.
g_adversarial_9,adversarial,r2,refund_request,escalate,Coercive wire demand with account number is a money-movement threat,fail,Treats an urgent wire-or-else demand as routine refund status with no escalation signal.
g_adversarial_0,adversarial,r2,account_access,escalate,Abusive locked-card complaint with account number posted,pass,Empathetic DM route to unlock card without repeating sensitive data.
g_adversarial_18,adversarial,r2,account_access,escalate,Sarcastic angry login complaint with public phone number,pass,Warns against public sharing and gives reset plus secure DM path.
g_adversarial_16,adversarial,r2,card_delivery,escalate,Public zip and address posted with verification risk,pass,Routes address confirmation to DM without repeating PII publicly.
