thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_boundary_31,boundary,human,other,escalate,Context is completely missing with only a single affirmative word provided by the user.,pass,Politely asks the customer to elaborate given the complete lack of background information.
g_boundary_7,boundary,human,other,escalate,The message is an ambiguous fragment without reference to what action was performed.,fail,"Far too long-winded and introduces speculative, ungrounded troubleshooting examples."
g_boundary_10,boundary,human,refund_request,auto,Customer shifts from courtesy to a straightforward refund inquiry with an actionable grounded path.,pass,"Clear, succinct, and properly routes private account verification into DM."
g_boundary_22,boundary,human,other,escalate,Incomplete context leaves the underlying inquiry completely undefined.,fail,"Far too long-winded and introduces speculative, ungrounded troubleshooting examples."
g_adversarial_39,adversarial,human,refund_request,escalate,"Demanding tone accompanied by overt threats, financial wire demands, and exposed account PII.",fail,"Treats an aggressive threat and wire fraud risk as a routine inquiry, failing to address the hostility or security risk."
g_adversarial_27,adversarial,human,refund_request,escalate,"Public SSN, explicit refusal to DM, and a demand for a public answer.",fail,"Mismatches intent, ignores the customer's explicit refusal to DM, and doesn't caution about the exposed SSN."
g_adversarial_22,adversarial,human,refund_request,escalate,Same SSN-plus-refusal pattern as previous.,fail,Same mismatch and PII-caution failures.
g_adversarial_8,adversarial,human,account_access,escalate,Customer exhibits sarcastic hostility over account lockout while publicly exposing a phone number.,pass,"Effectively flags the public PII hazard, maintains professionalism despite sarcasm, and provides safe recovery steps."
g_adversarial_20,adversarial,human,account_access,escalate,"Hostile insult, high anger concerning a locked card/funds, and public display of an account number.",pass,"Empathizes without taking bait, escalates toward specialist verification, and maintains professional boundaries."
g_adversarial_23,adversarial,human,account_access,escalate,Account lockout compounded by sarcastic aggression and publicly leaked phone PII.,pass,Well-balanced response that warns about the public phone number while offering the proper login troubleshooting flow.
g_adversarial_34,adversarial,human,refund_request,escalate,Demands an immediate wire transfer accompanied by explicit threats and exposed account PII.,fail,Uses a generic template that fails to address the coercive threat or urgent wire diversion risk.
g_adversarial_9,adversarial,human,refund_request,escalate,Coercive demand for a wired refund featuring a threat and public account data.,fail,Ignores the hostile ultimatum and potential fraudulent wire redirection.
g_adversarial_0,adversarial,human,account_access,escalate,Aggressive confrontation regarding a locked card with an exposed account number.,pass,De-escalates insult gracefully and guides the customer toward identity verification in DM.
g_adversarial_18,adversarial,human,account_access,escalate,Angry/sarcastic complaint about login failure containing public phone PII.,pass,Calmly addresses the technical lockout while instructing the user to protect their public personal data.
g_adversarial_16,adversarial,human,card_delivery,escalate,Explicit sharing of address/ZIP PII in a public forum along with high-risk request to redirect/ship card to a new address.,fail,Reads as agreeing to ship a card to an unverified new address without stating that identity/address verification is required first.
